time,price_t,price_tplus,pred_tplus,spread,position,pnl,pnl_cum
2018-12-01 23:00:00,64.5,60.27,58.938705,-1.3312945556640656,1,-4.229999999999997,-4.229999999999997
2018-12-02 00:00:00,60.27,53.37,56.089222,2.7192219543457057,-1,6.900000000000006,2.670000000000009
2018-12-02 01:00:00,53.37,51.32,51.105873,-0.21412689208984403,1,-2.049999999999997,0.6200000000000117
2018-12-02 02:00:00,51.32,50.03,49.978607,-0.05139282226562614,1,-1.2899999999999991,-0.6699999999999875
2018-12-02 03:00:00,50.03,50.25,49.254547,-0.995452880859375,1,0.21999999999999886,-0.44999999999998863
2018-12-02 04:00:00,50.25,50.98,51.31798,0.33798171997070625,-1,-0.7299999999999969,-1.1799999999999855
2018-12-02 05:00:00,50.98,51.73,54.87404,3.1440386962890656,-1,-0.75,-1.9299999999999855
2018-12-02 06:00:00,51.73,51.42,57.043087,5.623087005615233,-1,0.30999999999999517,-1.6199999999999903
2018-12-02 07:00:00,51.42,52.01,56.40018,4.390180816650393,-1,-0.5899999999999963,-2.2099999999999866
2018-12-02 08:00:00,52.01,55.41,58.27173,2.8617285156250034,-1,-3.3999999999999986,-5.609999999999985
2018-12-02 09:00:00,55.41,60.8,62.76554,1.965541076660159,-1,-5.390000000000001,-10.999999999999986
2018-12-02 10:00:00,60.8,63.12,64.94605,1.8260525512695338,-1,-2.3200000000000003,-13.319999999999986
2018-12-02 11:00:00,63.12,63.85,66.54833,2.6983322143554673,-1,-0.730000000000004,-14.04999999999999
2018-12-02 12:00:00,63.85,67.94,64.909615,-3.0303854370117165,1,4.089999999999996,-9.959999999999994
2018-12-02 13:00:00,67.94,66.48,67.73935,1.259349365234371,-1,1.4599999999999937,-8.5
2018-12-02 14:00:00,66.48,62.07,64.31126,2.241256408691406,-1,4.410000000000004,-4.089999999999996
2018-12-02 15:00:00,62.07,61.77,61.73751,-0.032489318847659376,1,-0.29999999999999716,-4.3899999999999935
2018-12-02 16:00:00,61.77,66.78,64.8574,-1.9226010131835949,1,5.009999999999998,0.6200000000000045
2018-12-02 17:00:00,66.78,72.51,70.35388,-2.156118164062505,1,5.730000000000004,6.3500000000000085
2018-12-02 18:00:00,72.51,72.35,73.29485,0.9448532104492244,-1,0.1600000000000108,6.510000000000019
2018-12-02 19:00:00,72.35,72.85,72.396385,-0.45361480712890057,1,0.5,7.010000000000019
2018-12-02 20:00:00,72.85,72.61,72.56033,-0.04966674804687443,1,-0.23999999999999488,6.770000000000024
2018-12-02 21:00:00,72.61,71.22,69.59247,-1.6275317382812489,1,-1.3900000000000006,5.380000000000024
2018-12-02 22:00:00,71.22,66.96,67.45535,0.49535278320313125,-1,4.260000000000005,9.640000000000029
2018-12-02 23:00:00,66.96,53.89,61.557293,7.667292938232421,-1,13.069999999999993,22.710000000000022
2018-12-03 00:00:00,53.89,50.93,51.214012,0.28401214599609403,-1,2.960000000000001,25.670000000000023
2018-12-03 01:00:00,50.93,49.65,50.09319,0.44318923950195455,-1,1.2800000000000011,26.950000000000024
2018-12-03 02:00:00,49.65,49.38,49.53273,0.15273010253905994,-1,0.269999999999996,27.22000000000002
2018-12-03 03:00:00,49.38,49.8,49.90602,0.10602111816406534,-1,-0.4199999999999946,26.800000000000026
2018-12-03 04:00:00,49.8,50.85,50.925915,0.07591476440429545,-1,-1.0500000000000043,25.75000000000002
