time,price_t,price_tplus,pred_tplus,signal,mispricing,score,p_estimated,kelly_fraction,allocation,position,pnl,capital
2018-12-01 23:00:00,64.5,60.27,58.938705,-5.5612945556640625,-1.3312945556640656,7.403721164399776,0.9759167470542622,0.9701515566788038,0.29104546700364115,-1,655.8139534883716,1000655.8139534884
2018-12-02 00:00:00,60.27,53.37,56.089222,-4.1807780456543,2.7192219543457057,11.368463447989706,0.9966123713095301,0.9944090217434962,0.2983227065230489,-1,1144.8481831757101,1001800.662136664
2018-12-02 01:00:00,53.37,51.32,51.105873,-2.264126892089841,-0.21412689208984403,0.48481045470023537,0.5603062943333749,0.518722651161759,0.15561679534852768,-1,384.1109237399283,1002184.773060404
2018-12-02 02:00:00,51.32,50.03,49.978607,-1.3413928222656253,-0.05139282226562614,0.0689379629030839,0.508616392277469,0.48978964551574655,0.14693689365472395,-1,251.36399064692108,1002436.1370510509
2018-12-02 03:00:00,50.03,50.25,49.254547,-0.7754528808593761,-0.995452880859375,0.7719268042221676,0.5953105940396776,0.07580885492989242,0.022742656478967727,-1,-43.97361583050147,1002392.1634352204
2018-12-02 04:00:00,50.25,50.98,51.31798,1.0679817199707031,0.33798171997070625,0.3609582986129714,0.5449977120810698,0.4010038927166957,0.1203011678150087,1,145.2736318407954,1002537.4370670612
2018-12-02 05:00:00,50.98,51.73,54.87404,3.8940386962890656,3.1440386962890656,12.243008345979847,0.9978096565451591,0.9960411777140138,0.29881235331420414,1,147.11651628089447,1002684.5535833421
2018-12-02 06:00:00,51.73,51.42,57.043087,5.3130870056152375,5.623087005615233,29.87595050097819,0.9999996745235005,0.9999993300565918,0.29999979901697754,1,-59.92654165861109,1002624.6270416835
2018-12-02 07:00:00,51.42,52.01,56.40018,4.980180816650389,4.390180816650393,21.863894284708824,0.999982122453537,0.9999663628523221,0.2999899088556966,1,114.74134577985149,1002739.3683874634
2018-12-02 08:00:00,52.01,55.41,58.27173,6.261728515625002,2.8617285156250034,17.919367050266292,0.9998715295965867,0.999812816178127,0.2999438448534381,1,653.7204383772349,1003393.0888258406
2018-12-02 09:00:00,55.41,60.8,62.76554,7.35554107666016,1.965541076660159,14.457618127236636,0.9992751415654675,0.9990814454737523,0.2997244336421257,1,972.7486013354991,1004365.8374271761
2018-12-02 10:00:00,60.8,63.12,64.94605,4.146052551269534,1.8260525512695338,7.570909838943292,0.9778052537885379,0.9680299832480606,0.29040899497441813,1,381.57894736842115,1004747.4163745445
2018-12-02 11:00:00,63.12,63.85,66.54833,3.4283322143554713,2.6983322143554673,9.250779255507982,0.9902952687707295,0.9826569801403588,0.29479709404210763,1,115.65272496831496,1004863.0690995128
2018-12-02 12:00:00,63.85,67.94,64.909615,1.0596145629882798,-3.0303854370117165,3.211040540525217,0.832788505581843,0.3545816327342724,0.10637448982028172,1,640.5638214565382,1005503.6329209693
2018-12-02 13:00:00,67.94,66.48,67.73935,-0.20065063476562273,1.259349365234371,0.2526892495259606,0.5315442057647298,0.0,0.0,-1,0.0,1005503.6329209693
2018-12-02 14:00:00,66.48,62.07,64.31126,-2.1687435913085977,2.241256408691406,4.86071047282881,0.9191129465329257,0.8355214030303733,0.25065642090911194,-1,663.3574007220222,1006166.9903216913
2018-12-02 15:00:00,62.07,61.77,61.73751,-0.33248931884765653,-0.032489318847659376,0.010802351493482595,0.5013502906540517,0.4526231935581335,0.13578695806744004,-1,48.33252779120302,1006215.3228494824
2018-12-02 16:00:00,61.77,66.78,64.8574,3.087398986816403,-1.9226010131835949,5.935836420155221,0.9511035530128414,0.9206544994997029,0.27619634984991087,1,811.0733365711508,1007026.3961860535
2018-12-02 17:00:00,66.78,72.51,70.35388,3.573881835937499,-2.156118164062505,7.7057115426778955,0.9792218398164577,0.9666864010731381,0.2900059203219414,1,858.0413297394434,1007884.437515793
2018-12-02 18:00:00,72.51,72.35,73.29485,0.7848532104492136,0.9448532104492244,0.7415710756243202,0.5916487784166987,0.10005127416908294,0.03001538225072488,1,-22.06592194180262,1007862.3715938512
2018-12-02 19:00:00,72.35,72.85,72.396385,0.046385192871099434,-0.45361480712890057,0.021041010317860622,0.5026301020312441,0.0,0.0,1,0.0,1007862.3715938512
2018-12-02 20:00:00,72.85,72.61,72.56033,-0.2896667480468693,-0.04966674804687443,0.014386805392801315,0.501798342919496,0.4163744234557176,0.12491232703671529,-1,32.944406314343844,1007895.3160001655
2018-12-02 21:00:00,72.61,71.22,69.59247,-3.0175317382812494,-1.6275317382812489,4.91112867532372,0.9209674090194236,0.8783404881644259,0.26350214644932773,-1,191.43368681999732,1008086.7496869855
